Date,Open,High,Low,Close,Adj Close,Volume
2021/1/20,234,244,232,242,242,5063500
2021/1/21,242,250,238,240,240,5329700
2021/1/22,242,242,226,232,232,4850700
2021/1/25,230,232,220,224,224,5366700
2021/1/26,226,226,214,216,216,4530400
2021/1/27,216,220,202,220,220,7550500
2021/1/28,220,220,210,212,212,6407300
2021/1/29,214,218,202,212,212,5372500
2021/2/1,214,220,202,218,218,3848400
2021/2/2,220,224,214,216,216,2550200
2021/2/3,216,222,214,222,222,1343300
2021/2/4,224,224,214,218,218,2235800
2021/2/5,218,232,216,232,232,4138400
2021/2/8,236,246,228,242,242,12245700
2021/2/9,240,242,226,234,234,7127400
2021/2/10,234,234,222,226,226,3621400
2021/2/11,224,228,218,220,220,4477700
2021/2/15,222,226,218,222,222,1770400
2021/2/16,222,228,220,224,224,4328700
2021/2/17,222,224,218,224,224,4619200
2021/2/18,224,226,216,218,218,4369300
2021/2/19,216,226,212,216,216,8117300
2021/2/22,216,218,212,212,212,6197100
2021/2/23,212,216,210,214,214,5239100
2021/2/24,214,216,208,212,212,5555400
2021/2/25,214,216,210,216,216,2388800
2021/2/26,216,216,212,216,216,2945300
2021/3/1,216,222,214,220,220,3002700
2021/3/2,218,226,216,218,218,4412300
2021/3/3,218,218,212,216,216,6755200
2021/3/4,216,216,206,210,210,7714100
2021/3/5,210,210,204,210,210,7296500
2021/3/8,210,212,204,208,208,5578100
2021/3/9,208,208,204,206,206,5520200
2021/3/10,208,208,200,202,202,7236800
2021/3/12,204,208,202,208,208,4318000
2021/3/15,210,210,206,206,206,3451400
2021/3/16,208,208,204,208,208,1734700
2021/3/17,208,208,204,208,208,1484200
2021/3/18,208,224,208,214,214,16750200
2021/3/19,218,220,210,212,212,5217400
2021/3/22,214,220,210,216,216,7229500
2021/3/23,218,228,212,218,218,15601600
2021/3/24,218,218,210,212,212,6642000
2021/3/25,212,214,206,210,210,4931000
2021/3/26,210,214,206,208,208,4453200
2021/3/29,208,212,204,206,206,4343700
2021/3/30,206,210,202,204,204,4656700
2021/3/31,204,204,200,204,204,5557200
2021/4/1,204,206,200,202,202,4347600
2021/4/5,204,208,202,202,202,2236000
2021/4/6,204,208,202,202,202,6155600
2021/4/7,204,206,202,204,204,4768900
2021/4/8,204,204,202,202,202,5455500
2021/4/9,206,216,204,206,206,11136900
2021/4/12,208,212,206,210,210,12564800
2021/4/13,212,214,206,208,208,6951900
2021/4/14,208,210,206,206,206,6991800
2021/4/15,206,208,204,204,204,8341000
2021/4/16,204,206,200,204,204,21018000
2021/4/19,206,218,204,214,214,19597400
2021/4/20,214,218,206,208,208,8127300
2021/4/21,204,208,204,206,206,6219200
2021/4/22,208,208,202,204,204,6352000
2021/4/23,204,206,202,204,204,5872300
2021/4/26,204,206,202,202,202,4705900
2021/4/27,204,206,200,202,202,8978600
2021/4/28,202,204,200,200,200,7688000
2021/4/29,200,206,200,200,200,17038000
2021/4/30,204,204,198,202,202,25746300
2021/5/3,202,204,198,199,199,7809600
2021/5/4,200,202,199,199,199,3572700
2021/5/5,199,200,198,199,199,6359600
2021/5/6,200,200,196,199,199,7566400
2021/5/7,199,210,198,210,210,32497200
2021/5/10,204,212,204,204,204,9345300
2021/5/11,204,206,202,202,202,4811100
2021/5/17,202,206,198,199,199,9091400
2021/5/18,199,200,198,199,199,2487100
2021/5/19,199,200,197,199,199,7411800
2021/5/20,199,204,198,202,202,6175800
2021/5/21,202,204,199,200,200,2493900
2021/5/24,199,202,196,199,199,7476500
2021/5/25,199,202,197,200,200,2527900
2021/5/27,202,206,199,206,206,8378200
2021/5/28,206,208,202,206,206,5532800
2021/5/31,208,248,206,242,242,81094800
,,,,,,
,,,,,,
,,,,,,
